title,authors,year,doi,url,abstract,database,identifier
Ai-Based Real-Time Filipino Sign Language Recognition and Translation System with Context-Aware Natural Language Processing,Dharnel Baculo & Jellame Formentera & Jeazle Anne Vinzon & Vivien Agustin & Ronald Fernandez,2026,,https://ideas.repec.org/a/bjc/journl/v13y2026i5p1749-1773.html,"The Filipino Sign Language (FSL) serves as the official sign language of the Deaf community in the Philippines, as recognized under Republic Act 11106. Despite this recognition, communication barriers persist in educational institutions, healthcare facilities, workplaces , and other settings where Deaf and hearing individuals interact, largely due to the limited understanding of FSL among the hearing majority. Existing sign language recognition applications predominantly target other sign languages such as American Sign Language and are constrained to isolated gesture recognition, failing to address the continuous and dynamic nature of Filipino Sign Language communication . ... A dataset of 20 FSL vocabulary items was collected from seven Filipino Sign Language signers, and a four-technique data augmentation pipeline including Gaussian noise, time shifting, scale variation, and hand mirroring was applied to improve model generalization across different signing styles and dominant hand preferences. The trained model was converted to TensorFlow Lite format for efficient on-device inference without requiring server-side computation or internet connectivity.",RePEc/IDEAS,RePEc:bjc:journl:v:13:y:2026:i:5:p:1749-1773
"ChatGPT in Knowledge-Intensive Work: Patterns of Adoption, Perceived Usefulness, and Human - AI Collaboration Across Three Domains",Jennifer Haase & Florian Butollo & Konrad-Malte Hoppe & Ann-Katrin Katzinski & Anne K. Krüger,2026,,https://ideas.repec.org/a/igg/jtd000/v16y2026i1p1-22.html,"In this study, the authors explored the integration and impact of ChatGPT, a generative artificial intelligence ( AI ) tool, across three knowledge-intensive fields: coaching, information technology programming, and academic research. ... Despite domain-specific differences, ChatGPT was consistently seen as a valuable, complementary tool for structured and content-focused tasks, although not as a substitute for human expertise. ... Domain-specific findings reveal that ChatGPT supports ideation and structuring in coaching, code review, and debugging in information technology, as well as writing and synthesis in science. These insights deepen organizations' understanding of how professionals experience AI -assisted work and highlight the evolving role of human agency in human - AI collaboration .",RePEc/IDEAS,RePEc:igg:jtd000:v:16:y:2026:i:1:p:1-22
Developing EFL Learnersâ€™ Feedback Literacy through AI -Assisted Dialogic Interactions in English Academic Writing : A Mixed-Methods Study,Lei Hong,2026,,https://ideas.repec.org/a/ibn/eltjnl/v19y2026i8p45.html,"Feedback literacy—the understandings, capacities, and dispositions needed to make sense of feedback and use it While existing research has extensively examined AI -generated feedback in terms of writing product outcomes, the process of how learners develop feedback literacy through sustained interaction with AI remains insufficiently understood. ... We measured AI affordance for feedback literacy strategies by analyzing learner-bot conversations and evaluated effectiveness through pre-post-delayed feedback literacy tests, essay writing and revision tasks, and semi-structured interviews. Our findings suggest that AI afforded 14 sub-strategies across four main feedback literacy dimensions (Appreciating, Judging, Acting-on, and Generating feedback ) plus one meta-level strategy. Appreciating and Acting-on strategies were most frequently used and significantly predicted feedback literacy knowledge and quality of English academic writing , though Appreciating strategies showed marginal significance (p < .10) for feedback literacy knowledge. ... We identified AI features influencing strategy frequency and effectiveness and offered implications for implementing AI -assisted feedback literacy instruction in English writing education.",RePEc/IDEAS,RePEc:ibn:eltjnl:v:19:y:2026:i:8:p:45
Effects of AI-assisted feedback on the essay writing performance of undergraduate English major students,"Tabotabo, Sarah Jane & Surdilla Michelle Joy & Sumampong Stephanie & Cadizon John Carl & Labrador Althea & Golbin Rodolfo Jr & Gimena Grace",2026,,https://ideas.repec.org/a/aoj/asjoet/v12y2026i2p19-27id8623.html,"This study investigates the effects of AI-assisted feedback on the essay writing performance of undergraduate English major students. ... Writing performance was measured using a validated analytic rubric covering content, organization, vocabulary, language use, and mechanics. ... Results showed significant increases in essay writing performance in both groups. ... Results suggest that timely, consistently incentivized AI-generated feedback supports reformulation, leading to better writing . The study underscores the importance of teacher feedback, especially for higher-level writing practices.",RePEc/IDEAS,RePEc:aoj:asjoet:v:12:y:2026:i:2:p:19-27:id:8623
Effects of generative AI -supported feedback on academic writing quality in senior secondary education,Cristie Ann L. Jaca,2026,,https://ideas.repec.org/a/ajp/edwast/v10y2026i3p372-380id12399.html,"This study examined whether generative AI -supported, rubric-aligned feedback with brief teacher mediation improves students' academic writing quality and writing self-efficacy. ... ANCOVA showed significantly higher adjusted posttest writing quality in the AI -supported condition, F(1, 57) = 8.77, p = 0.004, partial η² = 0.13, with the largest gains in organization, vocabulary, and mechanics. Writing self-efficacy was also higher in the AI -supported condition. These findings indicate that generative AI can strengthen classroom writing instruction when used as a supplement to teacher feedback. For practice, schools may adopt generative AI as a feedback aid when its use is guided by rubric criteria, teacher mediation, privacy safeguards, and responsible-use policies.",RePEc/IDEAS,RePEc:ajp:edwast:v:10:y:2026:i:3:p:372-380:id:12399
"Exploring feedback comprehension, use, and perceptions in L2 writing classrooms","Aldossary, Khaled S",2026,,https://ideas.repec.org/a/asi/ijells/v15y2026i3p33-43id6083.html,"To address this gap, this study compared the feedback from ChatGPT with that of a human teacher in terms of perceived usefulness and effect on the academic writing of low-intermediate L2 university students. Within a quasi-experimental design, Group A received ChatGPT feedback , and Group B received teacher feedback . Each group completed three writing tasks over six weeks. Data were gathered using blind scoring of drafts, success on revision , and semi-structured interviews. The results showed that students exposed to teacher feedback had greater comprehension, revised more successfully, and believed more in the feedback compared to students who received feedback from ChatGPT.",RePEc/IDEAS,RePEc:asi:ijells:v:15:y:2026:i:3:p:33-43:id:6083
Exploring Pre-service EFL Teachers' Perceptions of AI -Generated Feedback and Teacher Feedforward in Argumentative Writing : A Process-Genre Perspective,Siwaporn S AI to & Supong Tangkiengsirisin,2026,,https://ideas.repec.org/a/ibn/hesjnl/v16y2026i2p337.html,"This study investigates pre-service EFL teachers' perceptions of AI -generated feedback and teacher feedforward in the development of argumentative writing within a process-genre instructional framework. Grounded in feedback theory and conceptualized through a dual-level mediation perspective, the study positions AI as providing micro-level linguistic support, while teacher feedforward facilitates macro-level rhetorical development. ... The findings reveal that learners perceived AI -generated feedback as highly effective in identifying language-related issues and supporting immediate revision . ... Importantly, participants highlighted the complementary roles of AI and teacher feedback , which together enhanced their awareness of the writing process, confidence in revision , and engagement in autonomous learning. The study contributes to the growing body of research on AI in L2 writing by offering an integrated perspective on feedback mediation and highlighting the pedagogical value of combining AI -supported and teacher-guided feedback within a process-genre approach.",RePEc/IDEAS,RePEc:ibn:hesjnl:v:16:y:2026:i:2:p:337
Exploring the Impact of Integrated AWE and Generative AI Feedback on Chinese EFL Undergraduatesâ€™ Higher-Order Thinking in Argumentative Writing,Hongxia Hao & Abu Bakar Razali & Ruijia Zuo,2026,,https://ideas.repec.org/a/sae/sagope/v16y2026i1p21582440251413884.html,"Although automated writing evaluation (AWE) and artificial intelligence ( AI ) tools have been widely practiced in EFL/ESL writing instruction, there is a lack of empirical research on the effect of the integration of both AWE and AI feedback on studentsâ€™ higher-order thinking (HOT). Therefore, this study is to explore the impact of integrating AWE and AI feedback on Chinese EFL undergraduatesâ€™ higher-order thinking (HOT) in argumentative writing based on Revised Bloomâ€™s Taxonomy and Cognitive Feedback Theory. ... The experimental group ( n â€‰=â€‰32) received AWE (Pigai) and AI (ChatGPT) feedback, while the control group ( n â€‰=â€‰32) received only AWE (Pigai) feedback.",RePEc/IDEAS,RePEc:sae:sagope:v:16:y:2026:i:1:p:21582440251413884
"Facets of Human – AI Collaboration : The Importance of Collaboration Type, Invocation Type, and AI Output Quality","Diebel, Christopher",2026,,https://ideas.repec.org/p/dar/wpaper/160616.html,"In software development, AI -based agents can support developers in writing computer code. ... Notably, human – AI collaborations can take multiple forms that differ across several facets, including how responsibilities are distributed between humans and AI -based agents, how the collaboration is invoked, or the quality of the AI -generated output. ... The second strand of this thesis aims to examine how the type of invocation to collaborate in a human – AI collaboration can affect the human collaborators ’ perceptions and intentions. Therefore, the third and fourth studies of this thesis investigate how the two types of invocation to collaborate , AI -invoked versus human -invoked, can affect the human collaborator of a human – AI collaboration in this regard. ... The last strand of this thesis aims to examine how the quality of output provided by AI -based agents in human – AI collaboration can affect the human collaborators ’ knowledge.",RePEc/IDEAS,RePEc:dar:wpaper:160616
LLM Meets Job Advertisements: Unmasking Skill Premia in the UK,"Rony, Sidharth",2026,,https://ideas.repec.org/p/unm/unumer/2026010.html,"Rapid advances in technology and events such as COVID-19 have significantly transformed the modern workplace , potentially altering the skills demanded in jobs. This study examines the evolving demand and posted-wage premia for Information and Communication Technology (ICT), interpersonal, and Artificial Intelligence (AI) skills in the UK labour market.",RePEc/IDEAS,RePEc:unm:unumer:2026010
